title,perex,date,link
Поліція Стамбула затримала понад 210 протестувальників під час акції 1 травня,Влада заборонила мітинги 1 травня на центральній площі Стамбула,"17:30, 01 травня 2024",https://www.radiosvoboda.org/a/news-stambul-zatrymannya-politsiya/32929328.html
У Туркменистані чиновників зобов’язали купувати годинники із зображенням Бердимухамедових,"За словами джерела Радіо Азатлик, дешевші екземпляри зобов’язали купувати начальників дрібних бюджетних організацій, а дорожчі годинники мають придбати керівники вищої чиновницької ланки області","17:29, 01 травня 2024",https://www.radiosvoboda.org/a/news-turkmenystan-hodynnyky-berdymukhamedov/32929326.html
Росія назвала резолюцію ООН щодо масових вбивств у Сребрениці «однобокою»,"Виступаючи на засіданні 30 квітня, постійний представник Росії в ООН Василь Небензя назвав проєкт документу «однобоким», «політично зарядженим», таким, що не сприяє «міжнаціональному примиренню в Боснії і Герцеговині»","17:03, 01 травня 2024",https://www.radiosvoboda.org/a/news-oon-srebrenytsia-rezoliutsia-rosia/32929310.html
МВС: зросло число постраждалих через обстріл Золочева на Харківщині,Раніше повідомлялося про двох загиблих та шістьох постраждалих,"16:54, 01 травня 2024",https://www.radiosvoboda.org/a/news-zolochiv-postrazhdali-mvs/32929303.html
ОВА: війська РФ обстріляли Гірник на Донеччині з реактивної артилерії – є загиблі і поранені,РФ атакувала місто Гірник з реактивної системи залпового вогню «Ураган»,"16:53, 01 травня 2024",https://www.radiosvoboda.org/a/news-urahan-hirnyk-obstril/32929302.html
Голова МЗС Латвії: деякі партнери дають Україні зброю без вимоги уникати ударів по Росії,"«Вже зараз є країни, які надали Україні зброю без подібних обмежень»","16:40, 01 травня 2024",https://www.radiosvoboda.org/a/news-mzs-latvii-ukraina-udary-po-rf/32929292.html
Лідери країн Балтії закликали розпочати переговори про вступ України до ЄС,"«Ми закликаємо скликати міжурядові конференції з Україною та Молдовою та розпочати переговори про вступ у червні 2024 року», – йдеться у заяві","16:33, 01 травня 2024",https://www.radiosvoboda.org/a/news-baltiya-perehovory-yes-vstup-ukrayina/32929286.html
Франція і Японія почнуть переговори щодо взаємного доступу військ – ЗМІ,У грудні 2023 року Японія оголосила про найбільше нарощування військового потенціалу з часів Другої світової війни,"22:59, 02 травня 2024",https://www.radiosvoboda.org/a/news-frantsiya-yaponiya-dostup-viys%CA%B9k/32931032.html
Українська влада повідомляє про вибухи в Бердянську та Маріуполі,"«Мешканці Бердянська чули вибух, після чого вогонь розгорівся  локаційно в мікрорайоні Колонія», заявила голова міської військової адміністрації","22:51, 02 травня 2024",https://www.radiosvoboda.org/a/news-vybuhy-berdyansk-mariupol/32931030.html
"Командувач армії Фінляндії: Росія навряд нападатиме на НАТО в найближчі роки, але може продовжити гібридні атаки","«Звичайно, перевірка статті 5 завжди можлива, але якщо ми вживемо правильних дій і збережемо єдність, я вважаю напад малоймовірним», – сказав Янне Яаккола","22:21, 02 травня 2024",https://www.radiosvoboda.org/a/news-komanduvach-armiyi-finlyandiyi-rosiya-napad-nato/32931016.html
Парламент Сербії затвердив новий склад уряду. В його складі – двоє політиків під санкціями США,Сполучені Штати раніше висловили «розчарування» через включення підсанкційних осіб до нового уряду Сербії,"22:12, 02 травня 2024",https://www.radiosvoboda.org/a/news-parlament-serbii-novyi-uriad/32931014.html
Білий дім: КНДР отримала від Росії значні обсяги нафти,"Вашингтон вважає, що ці обсяги перевищують ліміт, встановлений санкціями ООН","21:43, 02 травня 2024",https://www.radiosvoboda.org/a/news-kndr-rosiya-nafta/32931002.html
Міноборони Росії знову заявляє про атаку безпілотників на Крим,"Як стверджує російське відомство, над територією півострова нібито збили два безпілотника","21:26, 02 травня 2024",https://www.radiosvoboda.org/a/news-minoborony-rosii-bezpilotnyky-krym/32930998.html
"Сили РФ з «Градів» обстріляли село на Донеччині, серед загиблих є дитина – влада","За даними місцевої влади, сьогодні ввечері російські війська обстріляли село Мемрик із «Градів»","21:16, 02 травня 2024",https://www.radiosvoboda.org/a/news-obstril-donechchyni-dytyna-zahybli/32930979.html
НАТО заявляє про посилення російських гібридних атак на території членів Альянсу,"«Ми засуджуємо поведінку Росії й закликаємо РФ дотримуватися своїх міжнародних зобов’язань, як це роблять члени Альянсу. Дії Росії не стримають членів Альянсу від продовження підтримки України»","21:02, 02 травня 2024",https://www.radiosvoboda.org/a/news-nato-rosia/32930981.html
Синєгубов: через російський обстріл села в Куп’янському районі загинув цивільний,«На території приватного домоволодіння загинув 66-річний чоловік»,"21:01, 02 травня 2024",https://www.radiosvoboda.org/a/news-syniehubov-rosiiskyi-obstril-zahublyi/32930980.html
У Казахстані журналістку судять за підтримку місцевої служби Радіо Свобода,"Звинувачення пов’язане зі статтею, в якій журналістка згадувала про проблеми Радіо Азаттик під час отримання офіційної акредитації від МЗС","20:48, 02 травня 2024",https://www.radiosvoboda.org/a/news-kazahstan-sud-maricheva/32930972.html
«Оперативність важлива» – Зеленський про оголошені партнерами пакети допомоги Україні,"«Оперативність важлива. Зміст пакетів є, я на сьогодні не бачу проблем із цим», – сказав Володимир Зеленський у своєму відеозверненні.","20:44, 02 травня 2024",https://www.radiosvoboda.org/a/news-zelenskyy-viyskova-dopomoha-operatyvnist/32930969.html
У США поки не бачать готовності Китаю працювати для досягнення миру в Україні – Білий дім,"За словами Джона Кірбі, він «неправильно сказав би, якби говорив, що ми дійсно бачили, як Китай рухається в цьому напрямку – ми такого не бачили»","20:39, 02 травня 2024",https://www.radiosvoboda.org/a/news-ssha-kytai-ukraina/32930966.html
ОВА: через російський обстріл Херсонщини поранена людина,У момент російського удару 46-річний чоловік перебував на подвір’ї,"20:10, 02 травня 2024",https://www.radiosvoboda.org/a/news-khersonshchyna-obstril-poranenyy/32930942.html
"Генштаб: на фронті за добу було 106 зіткнень, найбільше – на Авдіївському і Бахмутському напрямках","Українські військові відбивали атаки російських сил на сімох напрямках, заявили у Генштабі","19:54, 02 травня 2024",https://www.radiosvoboda.org/a/news-henshtab-front/32930927.html
У Кривому Розі повідомляли про звуки вибухів. Влада каже про роботу ППО на Дніпропетровщині,"За даними влади, сили ППО збили безпілотник над Криворізьким районом","19:36, 02 травня 2024",https://www.radiosvoboda.org/a/news-ppo-dnipropetrovshchyna/32930913.html
Опубліковані супутникові знімки наслідків ударів по військовому аеродрому в Джанкої,"Судячи з супутникових фото, удар зазнала одна з установок С-300/С-400","19:27, 02 травня 2024",https://www.radiosvoboda.org/a/news-dzankoj-udar-krym/32930873.html
"Удар РФ по Дергачах: було два влучання, більшість постраждалих дітей були на занятті у спортклубі",,"19:12, 02 травня 2024",https://www.radiosvoboda.org/a/news-derhachi-udar-naslidky/32930887.html
"Угорщина: в Будапешті через ножові поранення помер українець, підозрюваного затримали","Чоловік зазнав серйозних поранень, він помер на місці","18:49, 02 травня 2024",https://www.radiosvoboda.org/a/news-budapesht-vbyvstvo-ukrayinets/32930867.html
Війна в Україні навряд чи закінчиться найближчим часом – розвідка США,"«Ця агресивна тактика (РФ – ред.), ймовірно, триватиме, і війна навряд чи закінчиться найближчим часом»","18:31, 02 травня 2024",https://www.radiosvoboda.org/a/news-viyna-ukraina-rozvidka-ssha/32930847.html
